,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
10,0.144789666,0.803094327,0.131571189,0.167433187,0.18244344,0.148934692,0.147225454,0.1687098,0.168709993,0.167433187,0.133333296,0.18244344,0.112994716,0.148934692,0.174028248,0.198085591,0.170428321,0.190948457,0.164864063,0.163740039,0.171247736,0.179985121,0.151658237,0.179984942,0.164871275,0.151616797,0.165409878,0,0,0.178749904,0.220160633,0.107968442,0.136257857,0.821440995,0.151658237,0.144789502,0.141983271,0.167433292,0.144956157,0.148934633,0.151658177,0.151658177,0.182443529,0.208636522,0.121146932,0.119560651,0.134801,0.12581642,0.150300249,0.151658177,0.140566662,0.116339572,0.107968442,0.160968423,0.144789726
11,0.134876013,0.104473531,0.153008759,0.131854117,0.128860503,0.848536789,0.102690421,0.171247929,0.141983271,0.114703491,0.114703424,0.155688658,0.078772709,0.089403652,0.139140204,0.162272722,0.155688658,0.164864168,0.160968319,0.116339706,0.100881755,0.128860503,0.130363405,0.147561088,0.122718044,0.087367639,0.143390983,0,0.031777903,0.21095629,0.175019071,0.106232427,0.083167478,0.144789383,0.84679544,0.133333296,0.141983271,0.19213289,0.201624379,0.811281323,0.106232502,0.052098077,0.083167478,0.066676237,0.100881755,0.048694652,0.111375786,0.085290156,0.116339639,0.048694819,0.104473606,0.074148342,0.124274261,0.058339752,0.125816479
12,0.153008968,0.114703558,0.878888249,0.171247929,0.166151419,0.170428231,0.155688658,0.185521051,0.137474865,0.11304906,0.080996342,0.153260455,0.130363524,0.119531512,0.148934692,0.13480106,0.133333117,0.13306208,0.169981301,0.139140263,0.116339572,0.163571239,0.139140263,0.157018289,0.154352143,0.144789547,0.175527751,0.036722839,0,0.195713177,0.187315732,0.187315732,0.1096825,0.100881793,0.140566602,0.150300249,0.153008863,0.166151419,0.164864063,0.131571084,0.151658341,0.148934692,0.162272811,0.181216329,0.196900904,0.207473382,0.144789547,0.141983435,0.141983435,0.148934692,0.158341333,0.117958494,0.114703491,0.155969471,0.143390924
13,0.137704283,0.11465396,0.093361266,0.755709171,0.100881755,0.087367855,0.071736522,0.127344936,0.095287725,0.097182058,0.093361266,0.099046141,0.048694763,0.071736522,0.085290156,0.100881793,0.100881793,0.127344996,0.102690421,0.071736522,0.095287725,0.074148446,0.097182021,0.119560719,0.080996342,0.085290112,0.080996253,0,0.036723126,0.176266894,0.17751056,0.17751056,0.160968527,0.018318903,0.064009599,0.03177822,0.055302124,0,0.036722951,0.018318903,0.078772753,0.018318765,0.061235826,0,0.045047022,0.849746644,0.048694763,0.923521817,0.091400713,0,0.083167478,0,0.080996342,0.041089881,0.080996342
14,0.162272915,0.127344996,0.153008759,0.150300249,0.150300249,0.172509611,0.18552123,0.209797382,0.780861199,0.122718044,0.127345055,0.116339572,0.099046141,0.128860444,0.134801,0.154352143,0.160968319,0.158341333,0.151658341,0.148934692,0.128860503,0.137704179,0.107968368,0.151658177,0.159983292,0.133396044,0.169981301,0,0.144789666,0.163571239,0.175018966,0.18366693,0.166370317,0.078772657,0.074148498,0.080996253,0.078772709,0.061235856,0.058339752,0.100881793,0.100881755,0.074148372,0.099046141,0.083167478,0.074148446,0.089403652,0.111375719,0.091400586,0.078772657,0.089403823,0.076491803,0.071736522,0.095287725,0.083167434,0.116339572
15,0.143390983,0.1096825,0.104473643,0.093361266,0.121146999,0.099046141,0.102690421,0.093361229,0.113049194,0.889818072,0.100881793,0.087367855,0.076491803,0.074148498,0.099046141,0.095287725,0.097182058,0.151658237,0.114703424,0.061235826,0.083167523,0.107968509,0.085290156,0.114703424,0.071736522,0.093361147,0.117958561,0.055302091,0,0.203970894,0.19213289,0.03177806,0.099046215,0.898555756,0.104473606,0.099046215,0.097182021,0.119560651,0.113049127,0.095287643,0.074148521,0.0764919,0.179985031,0.171247929,0.083167434,0.076491758,0.100881793,0.087367766,0.093361229,0.095287725,0.083167523,0.052098077,0.071736604,0.078772612,0.102690496
16,0.146179646,0.164864168,0.184285626,0.188524872,0.189207032,0.155688554,0.170646846,0.171710178,0.178050354,0.134801,0.849829674,0.175018966,0.133396044,0.137704059,0.153260544,0.167433187,0.194522783,0.184701666,0.186102986,0.151658237,0.124274202,0.140566602,0.122705713,0.163941801,0.155688554,0.153260455,0.149143293,0,0,0.190933406,0.183667019,0.100881755,0.107968368,0.139140263,0.755911052,0.117958494,0.111375786,0.200447306,0.195713177,0.784641922,0.066567488,0.071736448,0.083167568,0.0809962,0.095287643,0.076491855,0.093361266,0.06667646,0.106232539,0.069248669,0.071736418,0.036722977,0.117958494,0.11304906,0.127344996
17,0.164864361,0.168709904,0.198085681,0.160968214,0.136257857,0.141983375,0.146179587,0.171247825,0.154352143,0.133333236,0.114703424,0.144789547,0.08736781,0.615719795,0.144789666,0.154352143,0.155688554,0.179305449,0.166151419,0.099046141,0.12581642,0.140566602,0.131854236,0.161308914,0.146179587,0.131854117,0.167433187,0,0,0.224723816,0.210956126,0.178749815,0.833638251,0.099046215,0.181216151,0.192132801,0.143390924,0.216722175,0.168979913,0.184886813,0.174259812,0.177510381,0.167433098,0.196900815,0.21326822,0.228131682,0.850863993,0.173766688,0.176791161,0.183010072,0.174259901,0.163571239,0.200447306,0.181803375,0.182443529
18,0.176266983,0.167677745,0.21311973,0.196900815,0.189705282,0.203674242,0.175156325,0.226997122,0.185509458,0.167433396,0.172509611,0.195284843,0.171247929,0.175156325,0.87289989,0.174028084,0.174141914,0.20514071,0.173766494,0.169981301,0.14069277,0.173766494,0.147561252,0.184886813,0.197695076,0.164863855,0.156842053,0,0.018318903,0.202798709,0.189730942,0.214421421,0.160968423,0.099046141,0.074148498,0.099046141,0.078772709,0.102690421,0.083167478,0.099046215,0.1096825,0.1096825,0.133333355,0.107968442,0.100881793,0.774882138,0.134801,0.093361266,0.089403778,0.111375719,0.107968442,0.107968368,0.104473606,0.11304906,0.111375719
19,0.190933496,0.155485928,0.212892145,0.166151226,0.18121624,0.164864168,0.176266894,0.183046252,0.158341229,0.151658341,0.155688658,0.154352143,0.151658177,0.186102986,0.180556267,0.884150743,0.158651829,0.162214935,0.184886813,0.143390924,0.148934633,0.168709904,0.1687098,0.196900815,0.148934692,0.172509521,0.17751047,0,0.157018393,0.214421257,0.208636522,0.21672225,0.190467209,0.133333117,0.089403778,0.128860444,0.106232502,0.124274202,0.093361266,0.128860503,0.117958561,0.116339438,0.121147126,0.130363345,0.107968509,0.119560786,0.146179587,0.121146999,0.109682567,0.12581642,0.130363405,0.104473643,0.130363345,0.116339706,0.137704179
